timestamp,package,cpu(%),memory(MB),fps,jank,stutter(%),gpu(%),battery.level,battery.voltage(mV),battery.temp(C),battery.current(mA),network.rx(KB/s),network.tx(KB/s)
1770691391281,com.spreadwin.live.pro,26.6,799.5,105,0,0.0,0.0,58,4075,25.7,0,0.0,0.0
1770691395143,com.spreadwin.live.pro,27.2,799.8,0,0,0.0,0.0,58,4075,25.7,0,0.0,0.0
1770691398069,com.spreadwin.live.pro,26.4,801.5,0,0,0.0,0.0,58,4075,25.7,0,0.0,0.0
1770691401032,com.spreadwin.live.pro,29.0,803.8,0,0,0.0,0.0,58,4075,25.7,0,0.0,0.0
1770691404049,com.spreadwin.live.pro,26.4,807.3,0,0,0.0,0.0,58,4075,25.7,0,0.0,0.0
1770691406929,com.spreadwin.live.pro,75.0,812.3,0,0,0.0,0.0,58,4075,25.7,0,0.0,0.0
1770691409436,com.spreadwin.live.pro,41.1,798.9,0,0,0.0,0.0,58,4075,25.7,0,0.0,0.0
1770691412670,com.spreadwin.live.pro,100.0,886.1,29,0,0.0,0.0,58,4075,25.7,0,0.0,0.0
1770691415195,com.spreadwin.live.pro,78.5,857.6,79,0,0.0,0.0,58,4075,25.7,0,0.0,0.0
1770691417803,com.spreadwin.live.pro,92.5,859.2,127,0,0.0,0.0,58,4075,25.7,0,0.0,0.0
1770691420448,com.spreadwin.live.pro,103.0,899.9,127,0,0.0,0.0,58,4075,25.7,0,0.0,0.0
1770691423039,com.spreadwin.live.pro,160.0,888.9,127,0,0.0,0.0,58,4075,25.7,0,0.0,0.0
1770691425487,com.spreadwin.live.pro,451.0,882.6,0,0,0.0,0.0,58,4075,25.7,0,0.0,0.0
1770691427818,com.spreadwin.live.pro,60.7,883.1,46,0,0.0,0.0,58,4075,25.7,0,0.0,0.0
1770691430081,com.spreadwin.live.pro,140.0,859.0,0,0,0.0,0.0,58,4075,25.7,0,0.0,0.0
1770691432526,com.spreadwin.live.pro,60.7,826.3,34,1,12.3,0.0,58,4075,25.7,0,0.0,0.0
1770691435436,com.spreadwin.live.pro,71.4,815.3,21,2,25.9,0.0,58,4070,25.8,0,0.0,0.0
1770691438142,com.spreadwin.live.pro,0.0,822.1,58,2,7.0,0.0,58,4070,25.8,0,0.0,0.0
1770691440734,com.spreadwin.live.pro,141.0,847.9,50,3,21.9,0.0,58,4070,25.8,0,0.0,0.0
1770691443623,com.spreadwin.live.pro,16.6,855.6,25,4,29.1,0.0,58,4070,25.8,0,0.0,0.0
1770691446284,com.spreadwin.live.pro,25.8,845.2,29,1,8.9,0.0,58,4070,25.8,0,0.0,0.0
1770691449016,com.spreadwin.live.pro,100.0,852.0,36,0,9.4,0.0,58,4070,25.8,0,0.0,0.0
1770691451899,com.spreadwin.live.pro,60.0,867.7,25,2,62.8,0.0,58,4070,25.8,0,0.0,0.0
1770691454824,com.spreadwin.live.pro,149.5,865.9,20,6,43.5,0.0,58,4070,25.8,0,0.0,0.0
1770691457798,com.spreadwin.live.pro,92.5,1012.6,23,12,64.7,0.0,58,4070,25.8,0,0.0,0.0
1770691460078,com.spreadwin.live.pro,25.9,976.2,45,5,33.8,0.0,58,4070,25.8,0,0.0,0.0
1770691462527,com.spreadwin.live.pro,16.6,980.7,26,5,58.6,0.0,58,4070,25.8,0,0.0,0.0
1770691464879,com.spreadwin.live.pro,27.2,972.4,3,2,94.2,0.0,58,4070,25.8,0,0.0,0.0
1770691467865,com.spreadwin.live.pro,21.2,938.2,3,2,93.2,0.0,58,4070,25.8,0,0.0,0.0
1770691470770,com.spreadwin.live.pro,9.0,940.2,3,2,95.0,0.0,58,4070,25.8,0,0.0,0.0
1770691473726,com.spreadwin.live.pro,19.3,930.3,3,2,95.1,0.0,58,4070,25.8,0,0.0,0.0
1770691476700,com.spreadwin.live.pro,38.7,934.2,4,3,95.0,0.0,58,4070,25.8,0,0.0,0.0
